method,field,n,correct,accuracy,ci_low,ci_high
hybrid,cash_and_equivalents,160,154,0.9625,0.9206091783691167,0.982702312729603
hybrid,eps_diluted,214,202,0.9439252336448598,0.90455774856405,0.967635624969747
hybrid,net_income,164,139,0.8475609756097561,0.784647058323334,0.8945647699719157
hybrid,operating_cash_flow,188,179,0.9521276595744681,0.9115347576827608,0.9746129808682105
hybrid,operating_income,148,139,0.9391891891891891,0.8884743515063959,0.9676810103970613
hybrid,revenue,194,186,0.9587628865979382,0.9207505766770561,0.9789590900462217
hybrid,stockholders_equity,160,150,0.9375,0.8887831386074578,0.9657007043237635
hybrid,total_assets,172,166,0.9651162790697675,0.9259933747042787,0.9839164532317729
hybrid,total_liabilities,109,106,0.9724770642201835,0.922187623329776,0.9905963145087516
llm,cash_and_equivalents,420,413,0.9833333333333333,0.966001198298732,0.9919038303723564
llm,eps_diluted,432,423,0.9791666666666666,0.9608846860527704,0.9890016946873883
llm,net_income,432,349,0.8078703703703703,0.7680694200134485,0.8422440516698418
llm,operating_cash_flow,432,426,0.9861111111111112,0.9700332971202871,0.9936195529059609
llm,operating_income,378,369,0.9761904761904762,0.9553750079067342,0.9874243099255815
llm,revenue,432,410,0.9490740740740741,0.9240996494445234,0.9661320310559153
llm,stockholders_equity,432,323,0.7476851851851852,0.7046659586150313,0.7863381125888188
llm,total_assets,432,426,0.9861111111111112,0.9700332971202871,0.9936195529059609
llm,total_liabilities,285,282,0.9894736842105263,0.9695135127352674,0.9964138329102352
rules,cash_and_equivalents,140,130,0.9285714285714286,0.8735089694457876,0.9607420399979341
rules,eps_diluted,144,106,0.7361111111111112,0.6586653933179522,0.8012863388061592
rules,net_income,144,118,0.8194444444444444,0.7485862177158821,0.8737014198637977
rules,operating_cash_flow,144,119,0.8263888888888888,0.756264144441322,0.8795514852596552
rules,operating_income,126,115,0.9126984126984127,0.8504222916386699,0.9505536667598711
rules,revenue,144,112,0.7777777777777778,0.70315614545601,0.8379635393958855
rules,stockholders_equity,144,132,0.9166666666666666,0.85999051009074,0.9516890171871032
rules,total_assets,144,130,0.9027777777777778,0.8434220552164262,0.9412014878188224
rules,total_liabilities,95,88,0.9263157894736842,0.8556415166933156,0.9638514902996915
