field,concept,filings,share
cash_and_equivalents,CashAndCashEquivalentsAtCarryingValue,125,0.8929
cash_and_equivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,15,0.1071
eps_diluted,EarningsPerShareDiluted,144,1.0
net_income,NetIncomeLoss,138,0.9583
net_income,ProfitLoss,6,0.0417
operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,135,0.9375
operating_cash_flow,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,9,0.0625
operating_income,OperatingIncomeLoss,126,1.0
revenue,RevenueFromContractWithCustomerExcludingAssessedTax,86,0.5972
revenue,Revenues,58,0.4028
stockholders_equity,StockholdersEquity,120,0.8333
stockholders_equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,24,0.1667
total_assets,Assets,144,1.0
total_liabilities,Liabilities,95,1.0
