cik,company,ticker,form,filing_date,report_date,accession,primary_document,doc_url,is_inline_xbrl,doc_id,doc_bytes,doc_status
66740,3M Company,MMM,10-K,2020-02-06,2019-12-31,0001558370-20-000581,mmm-20191231x10k62bf35.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837020000581/mmm-20191231x10k62bf35.htm,1,0000066740_0001558370-20-000581,9007809,ok
66740,3M Company,MMM,10-K,2021-02-04,2020-12-31,0001558370-21-000737,mmm-20201231x10k.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837021000737/mmm-20201231x10k.htm,1,0000066740_0001558370-21-000737,9544083,ok
66740,3M Company,MMM,10-K,2022-02-09,2021-12-31,0000066740-22-000010,mmm-20211231.htm,https://www.sec.gov/Archives/edgar/data/66740/000006674022000010/mmm-20211231.htm,1,0000066740_0000066740-22-000010,6745566,ok
66740,3M Company,MMM,10-K,2023-02-08,2022-12-31,0000066740-23-000014,mmm-20221231.htm,https://www.sec.gov/Archives/edgar/data/66740/000006674023000014/mmm-20221231.htm,1,0000066740_0000066740-23-000014,6551646,ok
66740,3M Company,MMM,10-K,2024-02-07,2023-12-31,0000066740-24-000016,mmm-20231231.htm,https://www.sec.gov/Archives/edgar/data/66740/000006674024000016/mmm-20231231.htm,1,0000066740_0000066740-24-000016,4286095,ok
66740,3M Company,MMM,10-K,2025-02-05,2024-12-31,0000066740-25-000006,mmm-20241231.htm,https://www.sec.gov/Archives/edgar/data/66740/000006674025000006/mmm-20241231.htm,1,0000066740_0000066740-25-000006,4680101,ok
1652044,Alphabet Inc.,GOOGL,10-K,2020-02-04,2019-12-31,0001652044-20-000008,goog10-k2019.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204420000008/goog10-k2019.htm,1,0001652044_0001652044-20-000008,3446126,ok
1652044,Alphabet Inc.,GOOGL,10-K,2021-02-03,2020-12-31,0001652044-21-000010,goog-20201231.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204421000010/goog-20201231.htm,1,0001652044_0001652044-21-000010,3194798,ok
1652044,Alphabet Inc.,GOOGL,10-K,2022-02-02,2021-12-31,0001652044-22-000019,goog-20211231.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204422000019/goog-20211231.htm,1,0001652044_0001652044-22-000019,3015373,ok
1652044,Alphabet Inc.,GOOGL,10-K,2023-02-03,2022-12-31,0001652044-23-000016,goog-20221231.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000016/goog-20221231.htm,1,0001652044_0001652044-23-000016,3038413,ok
1652044,Alphabet Inc.,GOOGL,10-K,2024-01-31,2023-12-31,0001652044-24-000022,goog-20231231.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000022/goog-20231231.htm,1,0001652044_0001652044-24-000022,2410403,ok
1652044,Alphabet Inc.,GOOGL,10-K,2025-02-05,2024-12-31,0001652044-25-000014,goog-20241231.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm,1,0001652044_0001652044-25-000014,2528344,ok
1018724,"Amazon.com, Inc.",AMZN,10-K,2020-01-31,2019-12-31,0001018724-20-000004,amzn-20191231x10k.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872420000004/amzn-20191231x10k.htm,1,0001018724_0001018724-20-000004,2689699,ok
1018724,"Amazon.com, Inc.",AMZN,10-K,2021-02-03,2020-12-31,0001018724-21-000004,amzn-20201231.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872421000004/amzn-20201231.htm,1,0001018724_0001018724-21-000004,2455655,ok
1018724,"Amazon.com, Inc.",AMZN,10-K,2022-02-04,2021-12-31,0001018724-22-000005,amzn-20211231.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872422000005/amzn-20211231.htm,1,0001018724_0001018724-22-000005,2415621,ok
1018724,"Amazon.com, Inc.",AMZN,10-K,2023-02-03,2022-12-31,0001018724-23-000004,amzn-20221231.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000004/amzn-20221231.htm,1,0001018724_0001018724-23-000004,2486192,ok
1018724,"Amazon.com, Inc.",AMZN,10-K,2024-02-02,2023-12-31,0001018724-24-000008,amzn-20231231.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/amzn-20231231.htm,1,0001018724_0001018724-24-000008,1945178,ok
1018724,"Amazon.com, Inc.",AMZN,10-K,2025-02-07,2024-12-31,0001018724-25-000004,amzn-20241231.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm,1,0001018724_0001018724-25-000004,1922355,ok
320193,Apple Inc.,AAPL,10-K,2019-10-31,2019-09-28,0000320193-19-000119,a10-k20199282019.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/a10-k20199282019.htm,1,0000320193_0000320193-19-000119,2714096,ok
320193,Apple Inc.,AAPL,10-K,2020-10-30,2020-09-26,0000320193-20-000096,aapl-20200926.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm,1,0000320193_0000320193-20-000096,2467306,ok
320193,Apple Inc.,AAPL,10-K,2021-10-29,2021-09-25,0000320193-21-000105,aapl-20210925.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/aapl-20210925.htm,1,0000320193_0000320193-21-000105,2051190,ok
320193,Apple Inc.,AAPL,10-K,2022-10-28,2022-09-24,0000320193-22-000108,aapl-20220924.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/aapl-20220924.htm,1,0000320193_0000320193-22-000108,2049857,ok
320193,Apple Inc.,AAPL,10-K,2023-11-03,2023-09-30,0000320193-23-000106,aapl-20230930.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/aapl-20230930.htm,1,0000320193_0000320193-23-000106,1558924,ok
320193,Apple Inc.,AAPL,10-K,2024-11-01,2024-09-28,0000320193-24-000123,aapl-20240928.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,1,0000320193_0000320193-24-000123,1503780,ok
18230,Caterpillar Inc.,CAT,10-K,2020-02-19,2019-12-31,0000018230-20-000056,cat10-k12312019.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823020000056/cat10-k12312019.htm,1,0000018230_0000018230-20-000056,11254215,ok
18230,Caterpillar Inc.,CAT,10-K,2021-02-17,2020-12-31,0000018230-21-000063,cat-20201231.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823021000063/cat-20201231.htm,1,0000018230_0000018230-21-000063,8443080,ok
18230,Caterpillar Inc.,CAT,10-K,2022-02-16,2021-12-31,0000018230-22-000050,cat-20211231.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823022000050/cat-20211231.htm,1,0000018230_0000018230-22-000050,7591410,ok
18230,Caterpillar Inc.,CAT,10-K,2023-02-15,2022-12-31,0000018230-23-000011,cat-20221231.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823023000011/cat-20221231.htm,1,0000018230_0000018230-23-000011,7203753,ok
18230,Caterpillar Inc.,CAT,10-K,2024-02-16,2023-12-31,0000018230-24-000009,cat-20231231.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823024000009/cat-20231231.htm,1,0000018230_0000018230-24-000009,5687600,ok
18230,Caterpillar Inc.,CAT,10-K,2025-02-14,2024-12-31,0000018230-25-000008,cat-20241231.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823025000008/cat-20241231.htm,1,0000018230_0000018230-25-000008,6101295,ok
858877,"Cisco Systems, Inc.",CSCO,10-K,2019-09-05,2019-07-27,0000858877-19-000012,csco-2019727x10k.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887719000012/csco-2019727x10k.htm,0,0000858877_0000858877-19-000012,4002139,ok
858877,"Cisco Systems, Inc.",CSCO,10-K,2020-09-03,2020-07-25,0000858877-20-000010,csco-2020725x10k.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887720000010/csco-2020725x10k.htm,1,0000858877_0000858877-20-000010,4917842,ok
858877,"Cisco Systems, Inc.",CSCO,10-K,2021-09-09,2021-07-31,0000858877-21-000013,csco-20210731.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887721000013/csco-20210731.htm,1,0000858877_0000858877-21-000013,4460962,ok
858877,"Cisco Systems, Inc.",CSCO,10-K,2022-09-08,2022-07-30,0000858877-22-000013,csco-20220730.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887722000013/csco-20220730.htm,1,0000858877_0000858877-22-000013,4527465,ok
858877,"Cisco Systems, Inc.",CSCO,10-K,2023-09-07,2023-07-29,0000858877-23-000023,csco-20230729.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887723000023/csco-20230729.htm,1,0000858877_0000858877-23-000023,3427538,ok
858877,"Cisco Systems, Inc.",CSCO,10-K,2024-09-05,2024-07-27,0000858877-24-000017,csco-20240727.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887724000017/csco-20240727.htm,1,0000858877_0000858877-24-000017,3549583,ok
909832,Costco Wholesale Corporation,COST,10-K,2019-10-11,2019-09-01,0000909832-19-000019,cost10k9119.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983219000019/cost10k9119.htm,0,0000909832_0000909832-19-000019,1845230,ok
909832,Costco Wholesale Corporation,COST,10-K,2020-10-07,2020-08-30,0000909832-20-000017,cost-20200830.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983220000017/cost-20200830.htm,1,0000909832_0000909832-20-000017,2777058,ok
909832,Costco Wholesale Corporation,COST,10-K,2021-10-06,2021-08-29,0000909832-21-000014,cost-20210829.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983221000014/cost-20210829.htm,1,0000909832_0000909832-21-000014,1889765,ok
909832,Costco Wholesale Corporation,COST,10-K,2022-10-05,2022-08-28,0000909832-22-000021,cost-20220828.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983222000021/cost-20220828.htm,1,0000909832_0000909832-22-000021,1861894,ok
909832,Costco Wholesale Corporation,COST,10-K,2023-10-11,2023-09-03,0000909832-23-000042,cost-20230903.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983223000042/cost-20230903.htm,1,0000909832_0000909832-23-000042,1502612,ok
909832,Costco Wholesale Corporation,COST,10-K,2024-10-09,2024-09-01,0000909832-24-000049,cost-20240901.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983224000049/cost-20240901.htm,1,0000909832_0000909832-24-000049,1497890,ok
50863,Intel Corporation,INTC,10-K,2020-01-24,2019-12-28,0000050863-20-000011,a12282019q4-10kdocument.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086320000011/a12282019q4-10kdocument.htm,1,0000050863_0000050863-20-000011,4925903,ok
50863,Intel Corporation,INTC,10-K,2021-01-22,2020-12-26,0000050863-21-000010,intc-20201226.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086321000010/intc-20201226.htm,1,0000050863_0000050863-21-000010,4090677,ok
50863,Intel Corporation,INTC,10-K,2022-01-27,2021-12-25,0000050863-22-000007,intc-20211225.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086322000007/intc-20211225.htm,1,0000050863_0000050863-22-000007,3934000,ok
50863,Intel Corporation,INTC,10-K,2023-01-27,2022-12-31,0000050863-23-000006,intc-20221231.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086323000006/intc-20221231.htm,1,0000050863_0000050863-23-000006,4026555,ok
50863,Intel Corporation,INTC,10-K,2024-01-26,2023-12-30,0000050863-24-000010,intc-20231230.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086324000010/intc-20231230.htm,1,0000050863_0000050863-24-000010,3276073,ok
50863,Intel Corporation,INTC,10-K,2025-01-31,2024-12-28,0000050863-25-000009,intc-20241228.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086325000009/intc-20241228.htm,1,0000050863_0000050863-25-000009,3334219,ok
200406,Johnson & Johnson,JNJ,10-K,2020-02-18,2019-12-29,0000200406-20-000010,form10-k20191229.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040620000010/form10-k20191229.htm,1,0000200406_0000200406-20-000010,6435415,ok
200406,Johnson & Johnson,JNJ,10-K,2021-02-22,2021-01-03,0000200406-21-000008,jnj-20210103.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040621000008/jnj-20210103.htm,1,0000200406_0000200406-21-000008,5402026,ok
200406,Johnson & Johnson,JNJ,10-K,2022-02-17,2022-01-02,0000200406-22-000022,jnj-20220102.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040622000022/jnj-20220102.htm,1,0000200406_0000200406-22-000022,5427163,ok
200406,Johnson & Johnson,JNJ,10-K,2023-02-16,2023-01-01,0000200406-23-000016,jnj-20230101.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040623000016/jnj-20230101.htm,1,0000200406_0000200406-23-000016,5351118,ok
200406,Johnson & Johnson,JNJ,10-K,2024-02-16,2023-12-31,0000200406-24-000013,jnj-20231231.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040624000013/jnj-20231231.htm,1,0000200406_0000200406-24-000013,3658068,ok
200406,Johnson & Johnson,JNJ,10-K,2025-02-13,2024-12-29,0000200406-25-000038,jnj-20241229.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040625000038/jnj-20241229.htm,1,0000200406_0000200406-25-000038,3662321,ok
310158,"Merck & Co., Inc.",MRK,10-K,2020-02-26,2019-12-31,0000310158-20-000005,mrk1231201910k.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015820000005/mrk1231201910k.htm,1,0000310158_0000310158-20-000005,7030832,ok
310158,"Merck & Co., Inc.",MRK,10-K,2021-02-25,2020-12-31,0000310158-21-000004,mrk-20201231.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015821000004/mrk-20201231.htm,1,0000310158_0000310158-21-000004,6620114,ok
310158,"Merck & Co., Inc.",MRK,10-K,2022-02-25,2021-12-31,0000310158-22-000003,mrk-20211231.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015822000003/mrk-20211231.htm,1,0000310158_0000310158-22-000003,6729616,ok
310158,"Merck & Co., Inc.",MRK,10-K,2023-02-24,2022-12-31,0001628280-23-005061,mrk-20221231.htm,https://www.sec.gov/Archives/edgar/data/310158/000162828023005061/mrk-20221231.htm,1,0000310158_0001628280-23-005061,6563437,ok
310158,"Merck & Co., Inc.",MRK,10-K,2024-02-26,2023-12-31,0001628280-24-006850,mrk-20231231.htm,https://www.sec.gov/Archives/edgar/data/310158/000162828024006850/mrk-20231231.htm,1,0000310158_0001628280-24-006850,5080817,ok
310158,"Merck & Co., Inc.",MRK,10-K,2025-02-25,2024-12-31,0001628280-25-007732,mrk-20241231.htm,https://www.sec.gov/Archives/edgar/data/310158/000162828025007732/mrk-20241231.htm,1,0000310158_0001628280-25-007732,5027463,ok
1326801,"Meta Platforms, Inc.",META,10-K,2020-01-30,2019-12-31,0001326801-20-000013,fb-12312019x10k.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680120000013/fb-12312019x10k.htm,1,0001326801_0001326801-20-000013,3015222,ok
1326801,"Meta Platforms, Inc.",META,10-K,2021-01-28,2020-12-31,0001326801-21-000014,fb-20201231.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680121000014/fb-20201231.htm,1,0001326801_0001326801-21-000014,2768590,ok
1326801,"Meta Platforms, Inc.",META,10-K,2022-02-03,2021-12-31,0001326801-22-000018,fb-20211231.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680122000018/fb-20211231.htm,1,0001326801_0001326801-22-000018,2583141,ok
1326801,"Meta Platforms, Inc.",META,10-K,2023-02-02,2022-12-31,0001326801-23-000013,meta-20221231.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680123000013/meta-20221231.htm,1,0001326801_0001326801-23-000013,2880995,ok
1326801,"Meta Platforms, Inc.",META,10-K,2024-02-02,2023-12-31,0001326801-24-000012,meta-20231231.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000012/meta-20231231.htm,1,0001326801_0001326801-24-000012,2465661,ok
1326801,"Meta Platforms, Inc.",META,10-K,2025-01-30,2024-12-31,0001326801-25-000017,meta-20241231.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/meta-20241231.htm,1,0001326801_0001326801-25-000017,2369769,ok
789019,Microsoft Corporation,MSFT,10-K,2019-08-01,2019-06-30,0001564590-19-027952,msft-10k_20190630.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459019027952/msft-10k_20190630.htm,0,0000789019_0001564590-19-027952,5960450,ok
789019,Microsoft Corporation,MSFT,10-K,2020-07-30,2020-06-30,0001564590-20-034944,msft-10k_20200630.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459020034944/msft-10k_20200630.htm,1,0000789019_0001564590-20-034944,6623045,ok
