doc_id,company,ticker,report_date,accession,fields_found,complete
0000066740_0001558370-20-000581,3M Company,MMM,2019-12-31,0001558370-20-000581,8,False
0000066740_0001558370-21-000737,3M Company,MMM,2020-12-31,0001558370-21-000737,8,False
0000066740_0000066740-22-000010,3M Company,MMM,2021-12-31,0000066740-22-000010,8,False
0000066740_0000066740-23-000014,3M Company,MMM,2022-12-31,0000066740-23-000014,8,False
0000066740_0000066740-24-000016,3M Company,MMM,2023-12-31,0000066740-24-000016,9,True
0000066740_0000066740-25-000006,3M Company,MMM,2024-12-31,0000066740-25-000006,9,True
0001652044_0001652044-20-000008,Alphabet Inc.,GOOGL,2019-12-31,0001652044-20-000008,9,True
0001652044_0001652044-21-000010,Alphabet Inc.,GOOGL,2020-12-31,0001652044-21-000010,9,True
0001652044_0001652044-22-000019,Alphabet Inc.,GOOGL,2021-12-31,0001652044-22-000019,9,True
0001652044_0001652044-23-000016,Alphabet Inc.,GOOGL,2022-12-31,0001652044-23-000016,9,True
0001652044_0001652044-24-000022,Alphabet Inc.,GOOGL,2023-12-31,0001652044-24-000022,9,True
0001652044_0001652044-25-000014,Alphabet Inc.,GOOGL,2024-12-31,0001652044-25-000014,9,True
0001018724_0001018724-20-000004,"Amazon.com, Inc.",AMZN,2019-12-31,0001018724-20-000004,8,False
0001018724_0001018724-21-000004,"Amazon.com, Inc.",AMZN,2020-12-31,0001018724-21-000004,8,False
0001018724_0001018724-22-000005,"Amazon.com, Inc.",AMZN,2021-12-31,0001018724-22-000005,8,False
0001018724_0001018724-23-000004,"Amazon.com, Inc.",AMZN,2022-12-31,0001018724-23-000004,8,False
0001018724_0001018724-24-000008,"Amazon.com, Inc.",AMZN,2023-12-31,0001018724-24-000008,8,False
0001018724_0001018724-25-000004,"Amazon.com, Inc.",AMZN,2024-12-31,0001018724-25-000004,8,False
0000320193_0000320193-19-000119,Apple Inc.,AAPL,2019-09-28,0000320193-19-000119,9,True
0000320193_0000320193-20-000096,Apple Inc.,AAPL,2020-09-26,0000320193-20-000096,9,True
0000320193_0000320193-21-000105,Apple Inc.,AAPL,2021-09-25,0000320193-21-000105,9,True
0000320193_0000320193-22-000108,Apple Inc.,AAPL,2022-09-24,0000320193-22-000108,9,True
0000320193_0000320193-23-000106,Apple Inc.,AAPL,2023-09-30,0000320193-23-000106,9,True
0000320193_0000320193-24-000123,Apple Inc.,AAPL,2024-09-28,0000320193-24-000123,9,True
0000018230_0000018230-20-000056,Caterpillar Inc.,CAT,2019-12-31,0000018230-20-000056,9,True
0000018230_0000018230-21-000063,Caterpillar Inc.,CAT,2020-12-31,0000018230-21-000063,9,True
0000018230_0000018230-22-000050,Caterpillar Inc.,CAT,2021-12-31,0000018230-22-000050,9,True
0000018230_0000018230-23-000011,Caterpillar Inc.,CAT,2022-12-31,0000018230-23-000011,9,True
0000018230_0000018230-24-000009,Caterpillar Inc.,CAT,2023-12-31,0000018230-24-000009,9,True
0000018230_0000018230-25-000008,Caterpillar Inc.,CAT,2024-12-31,0000018230-25-000008,9,True
0000858877_0000858877-19-000012,"Cisco Systems, Inc.",CSCO,2019-07-27,0000858877-19-000012,9,True
0000858877_0000858877-20-000010,"Cisco Systems, Inc.",CSCO,2020-07-25,0000858877-20-000010,9,True
0000858877_0000858877-21-000013,"Cisco Systems, Inc.",CSCO,2021-07-31,0000858877-21-000013,9,True
0000858877_0000858877-22-000013,"Cisco Systems, Inc.",CSCO,2022-07-30,0000858877-22-000013,9,True
0000858877_0000858877-23-000023,"Cisco Systems, Inc.",CSCO,2023-07-29,0000858877-23-000023,9,True
0000858877_0000858877-24-000017,"Cisco Systems, Inc.",CSCO,2024-07-27,0000858877-24-000017,9,True
0000909832_0000909832-19-000019,Costco Wholesale Corporation,COST,2019-09-01,0000909832-19-000019,9,True
0000909832_0000909832-20-000017,Costco Wholesale Corporation,COST,2020-08-30,0000909832-20-000017,9,True
0000909832_0000909832-21-000014,Costco Wholesale Corporation,COST,2021-08-29,0000909832-21-000014,9,True
0000909832_0000909832-22-000021,Costco Wholesale Corporation,COST,2022-08-28,0000909832-22-000021,9,True
0000909832_0000909832-23-000042,Costco Wholesale Corporation,COST,2023-09-03,0000909832-23-000042,9,True
0000909832_0000909832-24-000049,Costco Wholesale Corporation,COST,2024-09-01,0000909832-24-000049,9,True
0000050863_0000050863-20-000011,Intel Corporation,INTC,2019-12-28,0000050863-20-000011,8,False
0000050863_0000050863-21-000010,Intel Corporation,INTC,2020-12-26,0000050863-21-000010,8,False
0000050863_0000050863-22-000007,Intel Corporation,INTC,2021-12-25,0000050863-22-000007,8,False
