doc_id,company,report_date,field,reason
0000012927_0000012927-20-000014,The Boeing Company,2019-12-31,total_liabilities,no_fact_in_filing
0000021344_0000021344-20-000006,The Coca-Cola Company,2019-12-31,total_liabilities,no_concept_present
0000021344_0000021344-21-000008,The Coca-Cola Company,2020-12-31,total_liabilities,no_concept_present
0000021344_0000021344-22-000009,The Coca-Cola Company,2021-12-31,total_liabilities,no_concept_present
0000021344_0000021344-23-000011,The Coca-Cola Company,2022-12-31,total_liabilities,no_concept_present
0000021344_0000021344-24-000009,The Coca-Cola Company,2023-12-31,total_liabilities,no_concept_present
0000021344_0000021344-25-000011,The Coca-Cola Company,2024-12-31,total_liabilities,no_concept_present
0000050863_0000050863-20-000011,Intel Corporation,2019-12-28,total_liabilities,no_concept_present
0000050863_0000050863-21-000010,Intel Corporation,2020-12-26,total_liabilities,no_concept_present
0000050863_0000050863-22-000007,Intel Corporation,2021-12-25,total_liabilities,no_concept_present
0000050863_0000050863-23-000006,Intel Corporation,2022-12-31,total_liabilities,no_concept_present
0000050863_0000050863-24-000010,Intel Corporation,2023-12-30,total_liabilities,no_concept_present
0000050863_0000050863-25-000009,Intel Corporation,2024-12-28,total_liabilities,no_concept_present
0000066740_0001558370-20-000581,3M Company,2019-12-31,cash_and_equivalents,no_fact_in_filing
0000066740_0001558370-21-000737,3M Company,2020-12-31,cash_and_equivalents,no_fact_in_filing
0000066740_0000066740-22-000010,3M Company,2021-12-31,cash_and_equivalents,no_fact_in_filing
0000066740_0000066740-23-000014,3M Company,2022-12-31,cash_and_equivalents,no_fact_in_filing
0000078003_0000078003-20-000014,Pfizer Inc.,2019-12-31,operating_income,no_concept_present
0000078003_0000078003-21-000038,Pfizer Inc.,2020-12-31,operating_income,no_concept_present
0000078003_0000078003-22-000027,Pfizer Inc.,2021-12-31,operating_income,no_concept_present
0000078003_0000078003-23-000024,Pfizer Inc.,2022-12-31,operating_income,no_concept_present
0000078003_0000078003-24-000039,Pfizer Inc.,2023-12-31,operating_income,no_concept_present
0000078003_0000078003-25-000054,Pfizer Inc.,2024-12-31,operating_income,no_concept_present
0000104169_0000104169-19-000016,Walmart Inc.,2019-01-31,total_liabilities,no_concept_present
0000104169_0000104169-20-000011,Walmart Inc.,2020-01-31,total_liabilities,no_concept_present
0000104169_0000104169-21-000033,Walmart Inc.,2021-01-31,total_liabilities,no_concept_present
0000104169_0000104169-22-000012,Walmart Inc.,2022-01-31,total_liabilities,no_concept_present
0000104169_0000104169-23-000020,Walmart Inc.,2023-01-31,total_liabilities,no_concept_present
0000104169_0000104169-24-000056,Walmart Inc.,2024-01-31,total_liabilities,no_concept_present
0000200406_0000200406-20-000010,Johnson & Johnson,2019-12-29,operating_income,no_fact_in_filing
0000200406_0000200406-21-000008,Johnson & Johnson,2021-01-03,operating_income,no_fact_in_filing
0000200406_0000200406-22-000022,Johnson & Johnson,2022-01-02,operating_income,no_fact_in_filing
